"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"344",0.16,0.11,0.11,0.631,0.8842,0.3418,1.0008,-0.5854,-0.929,-0.3418,-0.9652,0.7636,0.7812,0.8596,0.2146,0.8928,1.1728,-0.6708,-0.7014,-0.9394,-0.184,-0.7974,-1.1022,0.000000000214351547495436
"345",0.16,0.11,0.01,0.61,1.0064,0.3642,0.944,-0.504,-0.8802,-0.3568,-1.0326,0.7218,0.7136,0.9182,0.2022,0.868,1.144,-0.6688,-0.7708,-0.9478,-0.1928,-0.8508,-1.1642,7.88217787555007e-17
"346",0.16,0.01,0.41,0.6146,0.96,0.2994,0.9458,-0.6286,-0.9056,-0.3576,-0.9794,0.703,0.7298,0.7766,0.1536,0.7858,1.1046,-0.7012,-0.6866,-0.8566,-0.272,-0.8894,-1.188,1.03447989917607e-24
"347",0.16,0.01,0.31,0.6698,0.912,0.3994,0.9986,-0.6228,-0.9324,-0.3112,-0.9666,0.7348,0.678,0.8148,0.282,0.9032,1.0292,-0.7206,-0.701,-0.8178,-0.2292,-0.845,-1.0234,3.52582833471281e-18
"348",0.16,0.01,0.21,0.6526,0.8348,0.3112,0.9822,-0.6154,-0.9038,-0.345,-0.9548,0.6466,0.6344,0.8374,0.1616,0.849,1.1512,-0.7078,-0.7316,-0.8124,-0.2008,-0.888,-1.096,7.72276516839705e-15
"349",0.16,0.01,0.11,0.5898,0.8328,0.3866,0.9534,-0.5734,-0.9274,-0.3948,-0.9316,0.7016,0.6758,0.875,0.2732,0.8536,1.0416,-0.7618,-0.6616,-0.8654,-0.2338,-0.7882,-1.067,0.000000000000430289432315291
"350",0.16,0.01,0.01,0.6186,0.9122,0.3418,0.9872,-0.6302,-0.899,-0.3642,-0.9574,0.7478,0.6324,0.8008,0.2644,0.9016,1.1246,-0.6982,-0.6696,-0.8132,-0.2184,-0.9402,-1.1504,0.0000000000219750886999281
"351",0.11,0.91,0.41,0.6436,0.9486,0.3516,1.0186,-0.6488,-1.059,-0.3154,-1.0692,0.7828,0.6836,1.054,0.2188,0.8736,1.161,-0.7022,-0.763,-1.1478,-0.1882,-0.823,-1.2198,8.63107334468135e-21
"352",0.11,0.91,0.31,0.5404,1.0398,0.3116,1.0588,-0.642,-1.0436,-0.3288,-1.014,0.6678,0.7432,1.1218,0.2086,0.9446,1.1712,-0.7942,-0.779,-1.1672,-0.1572,-0.9392,-1.226,3.22294079523199e-16
"353",0.11,0.91,0.21,0.5464,1.0794,0.369,1.0272,-0.6054,-1.0286,-0.3326,-1.006,0.7522,0.7786,1.0558,0.1858,0.9248,1.221,-0.7436,-0.8084,-1.0704,-0.2168,-0.8694,-1.2202,0.00000000000644967255478932
"354",0.11,0.91,0.11,0.6254,1.0202,0.3496,1.0502,-0.5732,-1.0282,-0.385,-1.0176,0.6932,0.7468,1.093,0.1912,0.8524,1.1528,-0.7092,-0.7696,-1.0938,-0.1832,-0.9472,-1.1714,0.000000000013554475746381
"355",0.11,0.91,0.01,0.5468,1.0446,0.3572,1.0624,-0.6076,-1.0578,-0.4148,-1.0612,0.7032,0.714,1.1148,0.1356,0.8818,1.2162,-0.7834,-0.6936,-1.1056,-0.1836,-0.9456,-1.2032,0.0000000424397931685819
"356",0.11,0.81,0.41,0.6374,1.0558,0.327,1.0306,-0.5956,-1.0056,-0.4188,-1.0126,0.7898,0.7718,1.1254,0.2558,0.9274,1.1712,-0.7242,-0.6442,-1.0934,-0.1324,-0.945,-1.2284,1.60674622612413e-19
"357",0.11,0.81,0.31,0.5962,0.9936,0.3076,0.9904,-0.6532,-1.0464,-0.3722,-0.9766,0.7088,0.7156,1.127,0.1644,0.889,1.1348,-0.7504,-0.7232,-1.0972,-0.1462,-0.9044,-1.188,3.44663000820625e-17
"358",0.11,0.81,0.21,0.636,1.026,0.315,1.0382,-0.5766,-1.024,-0.3936,-1.025,0.7258,0.7048,1.0842,0.1626,0.9262,1.2386,-0.7278,-0.7468,-1.1712,-0.1792,-0.9232,-1.1804,8.03930633282034e-15
"359",0.11,0.81,0.11,0.555,1.0784,0.362,1.046,-0.5524,-1.0364,-0.3334,-1.0188,0.7508,0.7384,1.0992,0.1682,0.825,1.135,-0.6942,-0.7228,-1.0892,-0.246,-0.9598,-1.2116,0.000000000000279163458260239
"360",0.11,0.81,0.01,0.5788,1.0076,0.3316,1.0938,-0.5616,-1.0348,-0.4164,-1.0528,0.7606,0.6954,1.0372,0.1824,0.9086,1.2312,-0.6828,-0.7534,-1.1584,-0.1944,-0.8796,-1.1654,0.00000956083323233081
"361",0.11,0.71,0.41,0.6286,1.0252,0.2858,0.9838,-0.6216,-1.0174,-0.339,-1.0376,0.6932,0.7654,1.0634,0.1932,0.9316,1.23,-0.704,-0.7814,-1.0828,-0.1908,-0.9144,-1.1762,1.13629983245957e-20
"362",0.11,0.71,0.31,0.5392,1.0552,0.3246,1.0076,-0.5184,-1.0124,-0.3372,-1.0204,0.6288,0.756,1.1018,0.2036,0.9404,1.1886,-0.6794,-0.7818,-1.1272,-0.1682,-0.9488,-1.2102,0.0000000000000366652082410442
"363",0.11,0.71,0.21,0.5306,1.0372,0.3544,1.004,-0.6282,-1.0444,-0.3442,-1.032,0.7368,0.6964,1.081,0.273,0.9294,1.249,-0.7952,-0.662,-1.1428,-0.2602,-0.8884,-1.1852,0.000000000000602394194157945
"364",0.11,0.71,0.11,0.5394,1.0364,0.3554,1.096,-0.5746,-1.0056,-0.3804,-1.0316,0.6768,0.6964,1.0972,0.1524,0.876,1.1542,-0.688,-0.7438,-1.095,-0.1378,-0.915,-1.2246,0.000000000100569854940236
"365",0.11,0.71,0.01,0.5462,0.991,0.2842,0.9874,-0.5258,-0.977,-0.3688,-1.0466,0.7406,0.7116,1.1184,0.155,0.9178,1.1622,-0.723,-0.7012,-1.099,-0.1692,-0.894,-1.2036,0.00000262993851992447
"366",0.11,0.61,0.41,0.6444,1.0088,0.3718,1.0138,-0.6038,-1.0444,-0.3168,-0.9984,0.718,0.6768,1.0718,0.2236,0.9318,1.1614,-0.7712,-0.794,-1.066,-0.2284,-0.855,-1.191,6.25038576029147e-20
"367",0.11,0.61,0.31,0.5028,1.052,0.355,1.0252,-0.6248,-1.0148,-0.3772,-1.0998,0.7124,0.7682,1.036,0.2342,0.9478,1.2294,-0.6926,-0.7442,-1.1036,-0.0956,-0.8688,-1.1728,1.06911224342079e-17
"368",0.11,0.61,0.21,0.5734,1.0234,0.3304,1.0204,-0.5606,-1.0222,-0.3248,-1.0374,0.7278,0.7858,1.0328,0.2096,0.8636,1.2228,-0.7252,-0.7052,-1.1114,-0.191,-0.9144,-1.138,0.000000000312244296634797
"369",0.11,0.61,0.11,0.5642,1.0496,0.3856,0.998,-0.523,-0.994,-0.3902,-1.0344,0.7256,0.7206,1.1124,0.1916,0.9262,1.201,-0.676,-0.6784,-1.1186,-0.148,-0.9168,-1.2072,0.00000000000158126013731451
"370",0.11,0.61,0.01,0.6668,1.0482,0.3662,1.1006,-0.5976,-1.0572,-0.3322,-1.0304,0.6564,0.7098,1.1076,0.1146,0.8956,1.1654,-0.7504,-0.7014,-1.0848,-0.1526,-0.906,-1.1624,0.00000025352405235173
"371",0.11,0.51,0.41,0.5156,0.9954,0.3786,1.083,-0.5968,-0.9666,-0.3626,-1.0498,0.6634,0.694,1.094,0.1134,0.8674,1.1554,-0.7338,-0.6926,-1.081,-0.1408,-0.8944,-1.185,1.23858776687464e-21
"372",0.11,0.51,0.31,0.5812,0.9956,0.325,1.0086,-0.5314,-1.02,-0.3328,-1.033,0.6884,0.7618,1.1264,0.1738,0.881,1.1616,-0.7654,-0.7094,-1.0162,-0.2258,-0.968,-1.2058,7.75415285702553e-17
"373",0.11,0.51,0.21,0.532,0.9598,0.3926,0.9956,-0.645,-1.0286,-0.3626,-1.0284,0.7188,0.699,0.9944,0.2184,0.9666,1.1908,-0.6936,-0.7752,-1.102,-0.2682,-0.8212,-1.1554,0.000000000000352250705645133
"374",0.11,0.51,0.11,0.5786,1.0182,0.366,1.0358,-0.6164,-0.9886,-0.3364,-0.9586,0.6438,0.7112,1.0572,0.1946,0.871,1.2262,-0.7334,-0.7328,-1.0842,-0.1724,-0.9548,-1.204,0.00000000940347228426511
"375",0.11,0.51,0.01,0.6096,1.0308,0.3712,1.0082,-0.5306,-1.0394,-0.3422,-1.0056,0.7372,0.7194,1.0676,0.1916,0.9046,1.1678,-0.7806,-0.6852,-1.089,-0.2794,-0.9308,-1.1866,0.0598944429541009
