"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"1",0.46,0.91,0.41,0.613,1.0394,0.2746,1.0192,-0.5726,-1.035,-0.2954,-1.0674,0.6754,0.7902,1.1072,0.1826,0.9494,1.1674,-0.7348,-0.7488,-1.1222,-0.175,-0.9334,-1.1118,3.21756216270928e-21
"2",0.46,0.91,0.31,0.6,1.0304,0.342,1.0088,-0.5422,-0.969,-0.2802,-1.032,0.7328,0.8206,1.1508,0.2182,0.9218,1.211,-0.6566,-0.6718,-1.0588,-0.2346,-0.9626,-1.206,1.48588151686478e-16
"3",0.46,0.91,0.21,0.5656,1.043,0.3286,1.0974,-0.5432,-0.9992,-0.3562,-0.9442,0.7162,0.6934,1.1378,0.2062,0.874,1.2488,-0.7302,-0.7094,-1.1272,-0.229,-0.8806,-1.245,6.58080827007325e-16
"4",0.46,0.91,0.11,0.57,1.0314,0.4028,1.0448,-0.518,-1.0854,-0.3554,-1.0526,0.7298,0.6498,1.0794,0.125,1.0034,1.1554,-0.7334,-0.723,-1.0976,-0.217,-0.9062,-1.1822,0.0000000000018275146521806
"5",0.46,0.91,0.01,0.5478,1.049,0.3604,1.05,-0.6076,-1.0726,-0.429,-1.0492,0.8494,0.694,1.1508,0.1552,0.8932,1.1956,-0.7552,-0.6574,-1.1254,-0.224,-0.854,-1.2058,0.00000136897664905642
"6",0.46,0.81,0.41,0.5784,1.0182,0.3148,1.0522,-0.6696,-1.0254,-0.3778,-1.0264,0.7306,0.698,1.0648,0.1794,0.8432,1.182,-0.7432,-0.7672,-1.061,-0.2024,-0.8794,-1.215,4.30994844450271e-22
"7",0.46,0.81,0.31,0.5884,1.0382,0.4088,1.0482,-0.7072,-0.9976,-0.2774,-0.998,0.705,0.738,1.1176,0.1678,0.9114,1.217,-0.7178,-0.7242,-1.1346,-0.2914,-0.9534,-1.197,0.0000000000000177212777140608
"8",0.46,0.81,0.21,0.5792,1.0304,0.3106,0.9666,-0.6042,-1.0604,-0.3826,-1.0316,0.725,0.7158,1.053,0.1384,0.9304,1.183,-0.6946,-0.7696,-1.0808,-0.2082,-0.941,-1.2302,0.00000000000379459589036355
"9",0.46,0.81,0.11,0.6178,1.0392,0.3954,1.0504,-0.6598,-1.024,-0.2912,-1.0072,0.705,0.6874,1.1214,0.1284,0.8988,1.1906,-0.7624,-0.7148,-1.088,-0.2082,-0.901,-1.1948,0.0000000000306338883064292
"10",0.46,0.81,0.01,0.6074,1.0578,0.33,1.03,-0.634,-0.9812,-0.3122,-1.008,0.7372,0.7924,1.1348,0.2506,0.8906,1.2188,-0.8258,-0.7378,-1.125,-0.272,-0.9112,-1.2736,0.000871731350801681
"11",0.46,0.71,0.41,0.5672,1.005,0.3758,1.0408,-0.5878,-0.9954,-0.4082,-0.9972,0.6688,0.7284,1.0326,0.1774,0.971,1.152,-0.6484,-0.7164,-1.1432,-0.0942,-0.931,-1.2316,1.64922008916656e-23
"12",0.46,0.71,0.31,0.6124,1.0222,0.2858,0.9816,-0.5484,-1.0128,-0.2906,-1.059,0.7316,0.7704,1.1242,0.1468,0.9022,1.1858,-0.6968,-0.728,-1.0558,-0.2792,-0.9342,-1.1956,1.39655064420481e-15
"13",0.46,0.71,0.21,0.6082,0.9374,0.368,1.0544,-0.6312,-0.9916,-0.3236,-0.9782,0.7058,0.7322,0.987,0.1032,0.967,1.1898,-0.7266,-0.7994,-1.0412,-0.2732,-0.9332,-1.179,0.000000000000336355780175446
"14",0.46,0.71,0.11,0.6362,1.0688,0.3094,1.0388,-0.6176,-1.0154,-0.3712,-1.0298,0.783,0.729,1.0576,0.2254,0.8426,1.144,-0.755,-0.7228,-1.0882,-0.1604,-0.8398,-1.2064,0.0000000000903437004276418
"15",0.46,0.71,0.01,0.5892,1.0106,0.3016,0.9814,-0.6322,-1.0626,-0.3832,-0.9722,0.7028,0.7336,1.073,0.2184,0.9444,1.1586,-0.6706,-0.7036,-1.0694,-0.1752,-0.93,-1.206,0.000036685785486601
"16",0.46,0.61,0.41,0.5528,0.9842,0.3194,1.0112,-0.6418,-1.0572,-0.2832,-1.0354,0.7524,0.7594,1.0528,0.1728,0.9304,1.1442,-0.6742,-0.8362,-1.043,-0.1692,-0.9112,-1.182,4.69603835994412e-21
"17",0.46,0.61,0.31,0.5726,1.0126,0.3706,1.0044,-0.6568,-1.024,-0.2636,-0.9872,0.7342,0.714,1.055,0.1822,0.923,1.1498,-0.7182,-0.6664,-0.987,-0.2708,-0.89,-1.165,6.78464323209267e-19
"18",0.46,0.61,0.21,0.5914,0.9644,0.2864,0.9654,-0.525,-1.027,-0.3832,-1.0018,0.7232,0.7248,0.9982,0.2156,0.8294,1.1296,-0.7656,-0.7086,-1.0504,-0.17,-0.946,-1.1634,0.0000000000000178856260337488
"19",0.46,0.61,0.11,0.625,1.0164,0.3244,0.9928,-0.5962,-0.982,-0.3872,-1.048,0.6054,0.6752,1.05,0.2164,0.8698,1.1366,-0.6844,-0.731,-1.0092,-0.1906,-0.9844,-1.2058,0.000000322853865314578
"20",0.46,0.61,0.01,0.6072,1.0452,0.3654,1.0704,-0.6072,-1.0444,-0.3154,-1.0236,0.6802,0.7618,0.9626,0.1864,0.9042,1.2082,-0.805,-0.736,-1.038,-0.2984,-0.9316,-1.201,0.225207453629474
"21",0.46,0.51,0.41,0.5734,0.9864,0.3172,1.025,-0.6804,-0.985,-0.3082,-1.0178,0.727,0.7,0.9444,0.2068,0.8228,1.1302,-0.6718,-0.7534,-1.0112,-0.158,-0.8798,-1.1288,7.6281354147092e-23
"22",0.46,0.51,0.31,0.6428,1.013,0.3704,1.033,-0.587,-0.9858,-0.372,-0.9998,0.6852,0.7188,1.0804,0.2036,0.8942,1.15,-0.7008,-0.7932,-0.9994,-0.221,-0.8846,-1.1682,5.27729987919039e-17
"23",0.46,0.51,0.21,0.6194,0.9818,0.3028,0.9922,-0.652,-0.9962,-0.3232,-1.0122,0.7772,0.7288,0.9318,0.1636,0.9514,1.1728,-0.6378,-0.7852,-1.0102,-0.191,-0.831,-1.167,0.0000000000290713611451515
"24",0.46,0.51,0.11,0.6374,0.9796,0.358,0.9984,-0.5874,-1.012,-0.2536,-0.9674,0.7104,0.7018,0.9348,0.231,0.8476,1.1954,-0.6936,-0.699,-1.0042,-0.2276,-0.8648,-1.1644,0.000000000427636890696337
"25",0.46,0.51,0.01,0.5978,1.0134,0.3694,1.0216,-0.6102,-0.9994,-0.3566,-0.9334,0.6538,0.6912,1.0166,0.1948,0.8928,1.1604,-0.7,-0.7244,-1.0478,-0.1602,-0.8782,-1.1824,0.00000010452375678079
"26",0.46,0.41,0.41,0.6326,0.9908,0.2898,0.996,-0.6068,-0.93,-0.3924,-0.9854,0.7342,0.6994,0.9714,0.192,0.9012,1.1186,-0.7578,-0.7398,-0.8918,-0.2324,-0.8908,-1.1172,5.97124190505658e-20
"27",0.46,0.41,0.31,0.5768,0.9554,0.3264,1.0124,-0.6178,-0.994,-0.3918,-0.8958,0.712,0.7348,0.911,0.2748,0.8288,1.1224,-0.7114,-0.6944,-0.9608,-0.2,-0.8018,-1.1622,6.31335780550062e-19
"28",0.46,0.41,0.21,0.5922,1,0.4002,0.9548,-0.6862,-0.9838,-0.326,-0.9836,0.6812,0.6498,0.9094,0.2346,0.8696,1.0666,-0.683,-0.719,-0.9402,-0.1714,-0.8936,-1.1458,0.000000000000949749705298883
"29",0.46,0.41,0.11,0.6358,1.0428,0.4032,0.9806,-0.5924,-1.0162,-0.38,-1.008,0.7076,0.7526,0.9278,0.1848,0.911,1.1086,-0.6992,-0.6774,-0.8936,-0.1876,-0.9318,-1.0986,0.0000332438782867619
"30",0.46,0.41,0.01,0.661,0.97,0.3938,1.0234,-0.677,-0.9644,-0.3072,-0.9946,0.7046,0.7506,0.9192,0.1796,0.8574,1.0892,-0.6944,-0.6824,-0.954,-0.1502,-0.8628,-1.1748,0.00283578351337536
"31",0.46,0.31,0.41,0.5398,0.9474,0.3026,0.9164,-0.6166,-0.9288,-0.3214,-0.9326,0.7162,0.7016,0.8286,0.236,0.8356,1.087,-0.6876,-0.6934,-0.8896,-0.1526,-0.8496,-1.0908,5.83007507759428e-22
"32",0.46,0.31,0.31,0.658,0.9522,0.3602,0.9772,-0.6522,-0.9338,-0.4174,-0.997,0.6546,0.7324,0.8228,0.1084,0.8806,1.1418,-0.65,-0.6068,-0.9152,-0.1694,-0.7742,-1.128,6.67101008669394e-17
"33",0.46,0.31,0.21,0.6816,0.8426,0.4184,0.983,-0.667,-0.9592,-0.3042,-1.024,0.7612,0.683,0.8248,0.1764,0.7766,1.1076,-0.6528,-0.7286,-0.9024,-0.2604,-0.8084,-1.1288,0.0000000000000442132682874135
"34",0.46,0.31,0.11,0.5732,0.9586,0.277,0.9788,-0.6324,-0.941,-0.3196,-0.9496,0.6576,0.6898,0.8084,0.182,0.912,1.0638,-0.7054,-0.6852,-0.829,-0.1784,-0.8736,-1.0396,0.000000000100194382600286
"35",0.46,0.31,0.01,0.6954,0.9196,0.3426,0.9378,-0.6346,-0.8774,-0.3706,-0.9746,0.736,0.7116,0.8328,0.1802,0.8374,1.0914,-0.7166,-0.6426,-0.7692,-0.226,-0.8734,-1.098,0.0000000000793254697627087
"36",0.46,0.21,0.41,0.63,0.904,0.342,0.9806,-0.6296,-0.8936,-0.3342,-0.9264,0.6942,0.705,0.7186,0.192,0.9102,1.002,-0.6666,-0.631,-0.6758,-0.192,-0.8154,-1.0402,1.22687927215303e-23
"37",0.46,0.21,0.31,0.6732,0.8702,0.3236,0.9934,-0.6328,-0.9102,-0.3282,-0.9592,0.6606,0.6592,0.7696,0.1558,0.8564,1.002,-0.7304,-0.6942,-0.7656,-0.2752,-0.8386,-0.9846,9.67375916019571e-16
"38",0.46,0.21,0.21,0.651,0.9018,0.3632,0.96,-0.687,-0.904,-0.3598,-0.943,0.6552,0.7304,0.7668,0.1698,0.8284,1.0292,-0.6506,-0.708,-0.7624,-0.1542,-0.8494,-1.05,0.00000000000075595486157013
"39",0.46,0.21,0.11,0.607,0.9124,0.3496,0.9916,-0.6002,-0.917,-0.3444,-0.9494,0.738,0.6794,0.7224,0.225,0.876,1.0106,-0.754,-0.6998,-0.7562,-0.2566,-0.8322,-0.9852,1.44010815902542e-16
"40",0.46,0.21,0.01,0.6184,0.8914,0.3202,0.9818,-0.6704,-0.8698,-0.3904,-0.9418,0.6788,0.675,0.707,0.2412,0.8888,1.0248,-0.7072,-0.6374,-0.7714,-0.1632,-0.818,-1.0158,0.00000000609709259535583
"41",0.46,0.11,0.41,0.631,0.8884,0.2726,0.9432,-0.5996,-0.825,-0.364,-0.9086,0.726,0.6682,0.5694,0.1714,0.7446,0.9608,-0.6144,-0.6636,-0.6418,-0.2552,-0.8026,-0.9274,4.40329171136937e-26
"42",0.46,0.11,0.31,0.656,0.8668,0.3504,0.8986,-0.5726,-0.8508,-0.334,-0.9338,0.6966,0.6944,0.6388,0.2208,0.727,0.9964,-0.6114,-0.6852,-0.6826,-0.2318,-0.799,-0.9804,2.26784343820066e-20
"43",0.46,0.11,0.21,0.6392,0.8558,0.345,0.8926,-0.6734,-0.8832,-0.3374,-0.9032,0.7542,0.6614,0.623,0.208,0.827,0.942,-0.6738,-0.643,-0.6502,-0.1902,-0.8182,-1.0046,5.794668775616e-16
"44",0.46,0.11,0.11,0.6362,0.8724,0.3056,0.9608,-0.639,-0.8512,-0.3202,-0.925199999999999,0.6708,0.6242,0.674,0.2152,0.7904,0.9462,-0.6586,-0.7022,-0.677,-0.2158,-0.7874,-0.9344,5.88084960703453e-18
"45",0.46,0.11,0.01,0.6692,0.8518,0.3626,0.9212,-0.719,-0.9312,-0.3026,-0.9324,0.6744,0.6338,0.6852,0.1996,0.7932,0.9966,-0.701,-0.6626,-0.6732,-0.1896,-0.7038,-0.9078,0.00000000000698313393248329
"46",0.46,0.01,0.41,0.6358,0.8176,0.3018,0.872,-0.6774,-0.8694,-0.3144,-0.9106,0.6178,0.6288,0.6324,0.2368,0.7628,0.9308,-0.7108,-0.5868,-0.5522,-0.1822,-0.8072,-0.928,2.00711897539185e-30
"47",0.46,0.01,0.31,0.638,0.7834,0.3122,0.902,-0.6422,-0.8364,-0.351,-0.8856,0.6676,0.6808,0.5158,0.1414,0.734,0.8632,-0.6872,-0.6548,-0.5034,-0.1732,-0.6826,-0.8896,1.79850969855519e-23
"48",0.46,0.01,0.21,0.5996,0.8716,0.3744,0.9556,-0.6568,-0.8072,-0.3032,-0.8926,0.5676,0.661,0.5314,0.2282,0.7252,0.8496,-0.6664,-0.6346,-0.5344,-0.2176,-0.7418,-0.8746,5.65653112511823e-26
"49",0.46,0.01,0.11,0.6508,0.8416,0.3562,0.9056,-0.5996,-0.858,-0.367,-0.9502,0.6468,0.6738,0.557,0.23,0.7842,0.8698,-0.751,-0.6736,-0.4604,-0.166,-0.7416,-0.8672,4.69452680147682e-20
"50",0.46,0.01,0.01,0.6724,0.866,0.3126,0.8806,-0.651,-0.8826,-0.3736,-0.8756,0.6808,0.6204,0.5508,0.1926,0.7242,0.8698,-0.623,-0.566,-0.5166,-0.2182,-0.7326,-0.895,1.06698174120302e-25
"51",0.41,0.91,0.41,0.5676,0.9974,0.322,1.0492,-0.582,-1.039,-0.3568,-1.0282,0.7364,0.76,1.1164,0.18,0.929,1.2034,-0.6826,-0.7016,-1.116,-0.184,-0.9542,-1.1498,5.0878930376141e-21
"52",0.41,0.91,0.31,0.5476,1.0832,0.3462,1.0024,-0.506,-1.0106,-0.3984,-1.0156,0.7286,0.7098,1.1352,0.2094,0.9048,1.2102,-0.638,-0.7366,-1.1392,-0.2986,-0.889,-1.176,1.48293330885345e-16
"53",0.41,0.91,0.21,0.5478,1.0572,0.359,1.0384,-0.5598,-1.0112,-0.2762,-1.0102,0.7074,0.7094,1.1846,0.2252,0.9348,1.213,-0.7502,-0.7488,-1.1098,-0.223,-0.9106,-1.1832,0.000000000000118827961542744
"54",0.41,0.91,0.11,0.5534,1.045,0.355,0.9748,-0.5464,-0.978,-0.44,-1.0554,0.7248,0.7364,1.1174,0.2316,0.936,1.1916,-0.6628,-0.7162,-1.0742,-0.1538,-0.9136,-1.2012,0.00000000821625374607718
"55",0.41,0.91,0.01,0.5968,1.0602,0.309,1.0412,-0.6456,-0.9966,-0.373,-0.9938,0.7942,0.6622,1.141,0.2682,0.9866,1.2022,-0.7146,-0.7668,-1.0846,-0.2626,-0.9268,-1.126,0.00000000160800321412973
"56",0.41,0.81,0.41,0.6282,1.0908,0.4272,1.0356,-0.5928,-1.0484,-0.355,-0.995,0.7046,0.7154,1.0296,0.1924,0.8906,1.2492,-0.7346,-0.6524,-1.0992,-0.198,-0.9066,-1.2534,1.70505135623987e-22
"57",0.41,0.81,0.31,0.6068,1.0338,0.2752,0.9848,-0.6492,-1.033,-0.336,-1.069,0.7322,0.6842,1.1088,0.1764,0.863,1.1934,-0.772,-0.6858,-1.0998,-0.1782,-0.9058,-1.1464,9.06710425398229e-16
"58",0.41,0.81,0.21,0.5274,1.0142,0.3238,1.0554,-0.6532,-1.0186,-0.416,-0.985,0.6916,0.7782,1.083,0.228,0.9106,1.2384,-0.717,-0.753,-1.1178,-0.1342,-0.9316,-1.1624,0.000000000000118184002288016
"59",0.41,0.81,0.11,0.4892,1.036,0.45,1.0436,-0.5442,-1.0026,-0.3334,-0.9752,0.7446,0.7452,1.1294,0.1404,0.8542,1.2156,-0.6922,-0.7332,-1.1454,-0.1846,-0.9544,-1.2024,4.36140170320285e-15
"60",0.41,0.81,0.01,0.57,1.0586,0.3662,1.0856,-0.5868,-1.0412,-0.3214,-1.0674,0.7808,0.7262,1.0848,0.2664,0.8982,1.14,-0.6676,-0.666,-1.095,-0.212,-0.9074,-1.2026,0.00017213390991567
"61",0.41,0.71,0.41,0.5874,1.0004,0.321,1.014,-0.581,-1.001,-0.3842,-0.9922,0.7386,0.6732,1.0536,0.2376,0.9322,1.1886,-0.6962,-0.682,-1.057,-0.177,-0.8886,-1.1438,1.61207446945327e-21
"62",0.41,0.71,0.31,0.5732,0.9796,0.3306,1.0734,-0.592,-1.0056,-0.373,-0.9856,0.7064,0.7316,1.1254,0.1974,0.9126,1.143,-0.7272,-0.648,-1.0614,-0.2404,-0.8818,-1.1492,6.15903947695053e-18
"63",0.41,0.71,0.21,0.6406,1.0462,0.3348,0.9956,-0.5408,-1.033,-0.3798,-0.998,0.7578,0.762,1.0612,0.1998,0.9132,1.2016,-0.7664,-0.726,-1.1448,-0.215,-0.9074,-1.2506,0.0000000000425281178453428
"64",0.41,0.71,0.11,0.641,0.9418,0.3426,0.9774,-0.6252,-1.0358,-0.3556,-1.0318,0.6758,0.7222,1.101,0.2298,0.8984,1.16,-0.6852,-0.6838,-1.0878,-0.182,-0.8582,-1.1794,0.00000000000128346502387199
"65",0.41,0.71,0.01,0.5926,1.0746,0.2578,1.071,-0.6126,-0.9796,-0.3092,-1.0368,0.678,0.6958,1.099,0.1604,0.9372,1.2036,-0.7564,-0.759,-1.074,-0.1978,-0.9172,-1.1782,0.000000644615062959657
"66",0.41,0.61,0.41,0.6188,0.978,0.2888,1.0496,-0.6378,-1.017,-0.317,-0.9574,0.6986,0.7132,1.098,0.149,0.9068,1.124,-0.7066,-0.7598,-1.0742,-0.1724,-0.8632,-1.1812,7.82886152096685e-20
"67",0.41,0.61,0.31,0.584,1.002,0.3448,0.9784,-0.5762,-1.0482,-0.2986,-1.0068,0.8118,0.7512,1.0774,0.224,0.9358,1.201,-0.7264,-0.7038,-1.0378,-0.1926,-0.9102,-1.179,6.44689980065241e-15
"68",0.41,0.61,0.21,0.6164,0.9872,0.3544,0.9922,-0.6018,-1.0332,-0.3642,-1.0168,0.6954,0.6606,1.024,0.1466,0.9508,1.2336,-0.7724,-0.7576,-0.9654,-0.282,-0.85,-1.202,1.12909598398914e-15
"69",0.41,0.61,0.11,0.5644,0.9534,0.3312,0.9514,-0.5838,-1.0516,-0.3984,-0.9856,0.716,0.712,1.0742,0.2312,0.896,1.231,-0.761,-0.7066,-0.989,-0.1948,-0.8952,-1.13,0.00000373387144039155
"70",0.41,0.61,0.01,0.6404,0.9822,0.3288,1.0238,-0.6036,-0.9812,-0.314,-0.9994,0.6928,0.734,1.0334,0.2364,0.8506,1.2162,-0.7498,-0.6754,-1.001,-0.1484,-0.8974,-1.1454,0.000411640690513931
"71",0.41,0.51,0.41,0.5918,1.0034,0.3576,1.0344,-0.6478,-0.9886,-0.3112,-1.0628,0.7346,0.7394,0.9976,0.214,0.8512,1.1992,-0.7082,-0.7416,-0.9394,-0.2124,-0.936,-1.1526,1.14556190991323e-20
"72",0.41,0.51,0.31,0.6404,0.9972,0.3628,1.029,-0.6398,-0.9746,-0.3712,-1.0036,0.7222,0.6684,1.0172,0.2354,0.9466,1.1648,-0.7252,-0.7124,-1.0106,-0.188,-0.867,-1.1844,1.07760981627974e-17
"73",0.41,0.51,0.21,0.6078,1.002,0.3748,1.0504,-0.5804,-0.9782,-0.364,-1.005,0.7262,0.6962,0.9908,0.1784,0.8672,1.1828,-0.683,-0.733,-0.9552,-0.1522,-0.8988,-1.12,0.00000000000121570109108151
"74",0.41,0.51,0.11,0.67,1.059,0.3524,1.026,-0.583,-1.0062,-0.3486,-1.0146,0.7536,0.6774,1.002,0.1574,0.8342,1.1108,-0.7096,-0.7198,-1.015,-0.2262,-0.8598,-1.176,0.00000000361108321499591
"75",0.41,0.51,0.01,0.708,1.0492,0.3488,0.9986,-0.6216,-1.0392,-0.4062,-1.0256,0.7968,0.683,1.045,0.1932,0.9276,1.174,-0.7452,-0.7006,-1.0034,-0.1516,-0.8802,-1.1556,0.0000140316335172567
"76",0.41,0.41,0.41,0.5904,0.9774,0.2724,0.9668,-0.6468,-0.9426,-0.3832,-1.028,0.6966,0.768,0.8876,0.1852,0.8276,1.1406,-0.7386,-0.7002,-0.9872,-0.2486,-0.9062,-1.1458,9.43733565852455e-21
"77",0.41,0.41,0.31,0.6138,1.0292,0.462,1.029,-0.638,-0.9364,-0.3796,-1.0628,0.7392,0.6962,0.9026,0.2164,0.9092,1.1114,-0.7106,-0.6704,-0.9276,-0.3024,-0.8426,-1.1002,3.39026046876029e-18
"78",0.41,0.41,0.21,0.5756,0.9544,0.352,0.9786,-0.6384,-1.0148,-0.3156,-0.9982,0.6598,0.7626,0.8994,0.179,0.9426,1.0938,-0.6506,-0.6544,-0.8904,-0.2836,-0.8498,-1.1116,0.000000000691810037575843
"79",0.41,0.41,0.11,0.6408,0.96,0.4124,0.9746,-0.6456,-0.952,-0.3418,-1.0018,0.6988,0.7234,0.863,0.1706,0.8746,1.1206,-0.7692,-0.7842,-0.8732,-0.2368,-0.8476,-1.1328,0.0000748069975778723
"80",0.41,0.41,0.01,0.6464,0.9388,0.344,0.9642,-0.628,-1.0142,-0.2918,-0.9528,0.7188,0.741,0.9258,0.1544,0.87,1.1078,-0.7468,-0.8186,-0.9436,-0.2522,-0.9036,-1.0956,0.000000325709421880104
"81",0.41,0.31,0.41,0.6012,0.903,0.3894,0.9756,-0.6332,-0.9114,-0.37,-0.9906,0.6858,0.7056,0.9364,0.2704,0.9248,1.0744,-0.6404,-0.7238,-0.8374,-0.248,-0.8614,-1.0906,4.43522065848644e-23
"82",0.41,0.31,0.31,0.6794,0.9918,0.3672,0.9942,-0.6012,-0.9672,-0.3096,-0.9446,0.695,0.704,0.789,0.2198,0.8532,1.0802,-0.7146,-0.726,-0.9026,-0.2042,-0.8538,-1.1244,2.36970093187746e-15
"83",0.41,0.31,0.21,0.6866,0.9162,0.3282,1.015,-0.645,-0.967,-0.2958,-0.9962,0.6828,0.709,0.8914,0.169,0.8402,1.0924,-0.688,-0.6746,-0.8848,-0.1996,-0.8274,-1.0528,0.00000000000066617791214971
"84",0.41,0.31,0.11,0.654,0.9456,0.325,0.9646,-0.6278,-0.99,-0.3278,-1.0032,0.7026,0.7388,0.8798,0.2316,0.878,1.0866,-0.6826,-0.6686,-0.854,-0.2116,-0.8292,-1.0616,0.000000181481957905237
"85",0.41,0.31,0.01,0.6514,0.9592,0.325,0.9574,-0.636,-0.9876,-0.3702,-0.949,0.6398,0.7562,0.9412,0.217,0.814,1.0946,-0.7134,-0.6842,-0.8638,-0.2044,-0.87,-1.073,0.0000000426982179197551
"86",0.41,0.21,0.41,0.629,0.9082,0.3782,0.9856,-0.6046,-0.9056,-0.3562,-0.9642,0.6736,0.7532,0.7242,0.2374,0.8236,1.0248,-0.7026,-0.7098,-0.7908,-0.1944,-0.7998,-1.0778,1.12523777123541e-21
"87",0.41,0.21,0.31,0.6108,0.872,0.3342,0.9446,-0.6702,-0.886,-0.2968,-0.9524,0.6844,0.6732,0.8024,0.2058,0.861,1.0904,-0.7236,-0.6892,-0.7538,-0.246,-0.8694,-1.0712,7.32555411359693e-15
"88",0.41,0.21,0.21,0.65,0.8594,0.3324,0.942,-0.6202,-0.8426,-0.3592,-0.9732,0.6816,0.602,0.6896,0.2626,0.848,1.008,-0.717,-0.6722,-0.8082,-0.1728,-0.7942,-1.0508,0.0000000000000296227005645107
"89",0.41,0.21,0.11,0.6724,0.9094,0.3724,0.8918,-0.6768,-0.8916,-0.3114,-0.9574,0.74,0.7246,0.8006,0.2356,0.8452,1.0564,-0.6798,-0.6696,-0.7406,-0.2276,-0.8038,-1.0244,0.000000000000120390232416032
"90",0.41,0.21,0.01,0.5546,0.8912,0.369,0.966,-0.625,-0.8532,-0.3536,-0.9236,0.6938,0.7054,0.7168,0.2762,0.8546,1.0766,-0.7134,-0.688,-0.7298,-0.193,-0.8496,-1.1074,0.000000000000333835209886916
"91",0.41,0.11,0.41,0.6626,0.9064,0.3052,0.9564,-0.6926,-0.8666,-0.3748,-0.9652,0.6906,0.7428,0.6708,0.2328,0.8462,0.9382,-0.6654,-0.669,-0.6492,-0.2252,-0.7916,-0.9562,5.07028525449941e-24
"92",0.41,0.11,0.31,0.6246,0.9296,0.3174,0.9692,-0.629,-0.8486,-0.2684,-0.9572,0.7258,0.6468,0.7026,0.1528,0.8252,0.9084,-0.7332,-0.7412,-0.6756,-0.1444,-0.7576,-1.0046,7.51863206178279e-22
"93",0.41,0.11,0.21,0.677,0.8574,0.3966,0.932,-0.6304,-0.869,-0.2826,-0.8854,0.667,0.6446,0.6648,0.225,0.7678,0.9644,-0.6104,-0.5944,-0.7308,-0.243,-0.8092,-0.981,1.97107396172449e-18
"94",0.41,0.11,0.11,0.6492,0.85,0.359,0.998,-0.6226,-0.955,-0.3024,-0.9198,0.6724,0.6954,0.6386,0.1638,0.8244,1.0004,-0.7028,-0.702,-0.7246,-0.2386,-0.8592,-0.9698,0.00000000000773709324424748
"95",0.41,0.11,0.01,0.651,0.8598,0.3968,0.9758,-0.5726,-0.8472,-0.369,-0.9728,0.6936,0.7142,0.673,0.2312,0.7486,1.0138,-0.6776,-0.6626,-0.6546,-0.2398,-0.771,-0.9352,0.0000000000991525838038863
"96",0.41,0.01,0.41,0.6546,0.8844,0.2962,0.9392,-0.646,-0.8228,-0.2824,-0.8588,0.6718,0.7226,0.6248,0.1968,0.7822,1.0198,-0.5816,-0.6092,-0.6244,-0.1936,-0.793,-0.8878,4.29283305438137e-27
"97",0.41,0.01,0.31,0.7014,0.8446,0.278,0.9272,-0.695,-0.8802,-0.301,-0.8842,0.6386,0.6442,0.5348,0.2428,0.8534,0.8726,-0.6734,-0.6114,-0.5316,-0.2144,-0.7758,-0.894,1.69958137268282e-24
"98",0.41,0.01,0.21,0.6226,0.8192,0.3268,0.8696,-0.6468,-0.8234,-0.3296,-0.8894,0.7062,0.6694,0.6466,0.217,0.7414,0.9382,-0.6,-0.64,-0.6256,-0.18,-0.881,-0.8954,3.93929865716437e-22
"99",0.41,0.01,0.11,0.68,0.796,0.3022,0.8748,-0.6332,-0.8154,-0.282,-0.9274,0.628,0.6908,0.6012,0.1938,0.7734,0.9082,-0.6662,-0.656,-0.4832,-0.1636,-0.7458,-0.9364,4.46672819706338e-17
"100",0.41,0.01,0.01,0.5906,0.8346,0.3666,0.917,-0.5688,-0.8782,-0.3026,-0.8916,0.6714,0.6638,0.5328,0.16,0.696,0.933,-0.6664,-0.5902,-0.5084,-0.1522,-0.772,-0.9138,8.18671117892812e-19
"101",0.36,0.91,0.41,0.6006,1.051,0.3112,1.0948,-0.5614,-1.0284,-0.3228,-0.9858,0.7698,0.724,1.1152,0.281,0.9578,1.1952,-0.7196,-0.6872,-1.1182,-0.2306,-0.9252,-1.2342,5.90000529628959e-20
"102",0.36,0.91,0.31,0.54,1.0136,0.3414,1.0074,-0.5432,-1.0758,-0.3666,-0.9836,0.7888,0.6952,1.1346,0.2308,1.0322,1.207,-0.7894,-0.7682,-1.1124,-0.2132,-0.845,-1.194,4.75205538491718e-17
"103",0.36,0.91,0.21,0.5844,1.0136,0.3502,1.0148,-0.528,-1.0482,-0.3584,-0.9882,0.7158,0.748,1.082,0.1432,0.8874,1.155,-0.7306,-0.701,-1.0912,-0.201,-0.9046,-1.1714,0.0000000000270630858887902
