"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss"
"8.2",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.3",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.4",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.5",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.6",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.7",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.8",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.9",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.10",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.11",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.12",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.13",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.14",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.15",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.16",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.17",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.18",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.19",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.20",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.21",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.22",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.23",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.24",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.25",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.26",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.27",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.28",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
